nim,final_ipk,avg_ipk,max_ipk,min_ipk,ipk_stability,ipk_trend,performance_consistency,study_duration_years,on_time_graduation,total_achievements,akademik_achievements,non_akademik_achievements,lokal_achievements,regional_achievements,nasional_achievements,internasional_achievements,achievement_diversity_score,recent_achievements,achievement_frequency,international_recognition,publication_count,competition_wins,total_organizations,leadership_positions,member_positions,leadership_diversity,total_org_duration,avg_org_duration,academic_orgs,social_orgs,religious_orgs,sports_orgs,arts_orgs,technology_orgs,volunteer_orgs,org_type_diversity,inter_org_collaboration,current_active_orgs,academic_performance_score,achievement_score,organizational_involvement_score,composite_score,label,criteria_count,high_performer
105131100519,3.43,3.4177777777777774,3.63,3.32,0.9212546923809999,0.0,0.974990722279692,4.0,1,1,0,1,1,0,0,0,2,1,0.25,0,0,1,1,1,0,1,5,5.0,0,1,0,0,0,0,0,1,0,0,0.8908764077142999,0.45999999999999996,0.55,0.65485056308572,0,1,0
105191101420,3.97,3.9875000000000003,4.0,3.97,0.9904103926087885,0.0,0.997571797275105,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,1,2,1,23,7.666666666666667,0,1,0,0,1,1,0,3,2,0,0.9926231177826366,0.0,0.7000000000000001,0.5720492471130547,1,2,0
105191115719,3.86,3.9087500000000004,4.0,3.85,0.9444389109144927,0.0,0.9849492208177165,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,1,4,4.0,0,0,0,1,0,0,0,1,0,0,0.9623316732743478,0.0,0.49999999999999994,0.5099326693097391,1,2,0
105241100721,3.64,3.515,3.64,3.34,0.9090909090909091,0.03690476190476191,0.9715504978662873,3.0,1,3,2,1,2,1,0,0,4,3,0.75,0,2,1,1,0,1,0,4,4.0,1,0,0,0,0,0,0,1,0,1,0.922417748917749,0.7866666666666666,0.25,0.7068004329004329,1,2,0
105311101620,3.55,3.5155555555555558,3.57,3.4,0.9440415048354379,0.011000000000000058,0.9831390914433007,4.0,1,1,0,1,1,0,0,0,2,1,0.25,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.9168124514506313,0.45999999999999996,0.0,0.5277249805802525,0,1,0
105311105520,3.85,3.8375000000000004,3.87,3.82,0.9846275079590688,0.00047619047619038756,0.9959315973951802,3.0,1,3,1,2,1,1,1,0,5,3,0.75,0,1,2,1,0,1,0,7,7.0,1,0,0,0,0,0,0,1,0,0,0.9729358714353397,0.8400000000000001,0.35,0.770674348574136,1,2,0
105421100320,3.88,3.867142857142857,4.0,3.77,0.9401751573066292,0.0,0.9835455800138012,3.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,1,2,1,10,3.3333333333333335,0,1,0,0,1,1,0,3,2,0,0.9640525471919886,0.0,0.5666666666666667,0.5272876855434621,1,2,0
105421104519,3.54,3.564285714285714,3.68,3.43,0.9267185276737097,0.0021428571428571425,0.9778142645240913,3.0,1,3,2,1,1,1,1,0,5,3,0.75,0,2,1,2,1,1,1,14,7.0,1,0,0,0,1,0,0,2,1,0,0.9092298440163986,0.8400000000000001,0.65,0.8201919376065595,1,3,1
105611105520,3.86,3.9,4.0,3.84,0.9443324245625969,0.0,0.9848848383044211,3.0,1,2,0,2,0,0,1,1,3,2,0.5,1,0,2,3,2,1,2,16,5.333333333333333,0,1,0,0,1,0,1,3,2,0,0.962299727368779,0.81,0.9166666666666666,0.8975865576141783,1,3,1
105611106021,3.88,3.8542857142857136,3.9,3.8,0.9669623212396062,0.014642857142857029,0.9911354627552992,3.0,1,4,0,4,2,1,1,0,4,4,1.0,0,0,4,1,0,1,0,3,3.0,0,0,0,0,0,1,0,1,0,1,0.9735529820861675,0.9200000000000002,0.2,0.7614211928344671,1,2,0
105611109820,3.82,3.795,3.87,3.76,0.9655239008308449,0.0,0.990591003387954,3.0,1,2,2,0,2,0,0,0,2,2,0.5,0,2,0,2,1,1,1,10,5.0,0,1,0,0,1,0,0,2,1,0,0.9626571702492533,0.56,0.6,0.7310628680997014,1,3,1
105611110319,3.29,3.26,3.44,3.16,0.9134251545845988,0.0,0.9709262429281944,5.0,0,3,1,2,0,2,0,1,4,3,0.75,1,1,2,1,1,0,1,4,4.0,0,1,0,0,0,0,0,1,0,0,0.7675275463753797,0.8933333333333333,0.49999999999999994,0.7446776852168185,1,2,0
105611121619,3.83,3.86125,3.91,3.82,0.9710956277832625,0.0,0.9922914335384975,3.0,1,1,1,0,0,1,0,0,2,1,0.25,0,1,0,1,0,1,0,3,3.0,1,0,0,0,0,0,0,1,0,0,0.9658286883349788,0.5399999999999999,0.2,0.6253314753339916,0,1,0
105641103820,3.86,3.88375,3.96,3.84,0.9569537004646675,0.0,0.9884177314351809,3.0,1,4,1,3,1,1,2,0,5,4,1.0,0,1,3,1,0,1,0,4,4.0,0,0,0,0,1,0,0,1,0,0,0.9660861101394002,0.96,0.25,0.7849344440557601,1,2,0
