nim,final_ipk,final_sks,avg_ips,stability_score,semester_count,academic_trend,ipk_progression,academic_score,gender,graduation_status,program_code,entry_year,total_prestasi,prestasi_akademik,prestasi_non_akademik,prestasi_individu,international_achievements,national_achievements,regional_achievements,achievement_level_score,achievement_diversity,achievement_score,academic_weighted,achievement_weighted,organizational_weighted,composite_score,berprestasi,academic_excellence,achievement_portfolio,leadership_experience,criteria_met,performance_tier,total_organizations,leadership_positions,leadership_duration_months,org_type_diversity,avg_involvement_duration,current_active_orgs,academic_orgs,social_orgs,professional_orgs,student_government_orgs,religious_orgs,special_interest_orgs,highest_leadership_level,event_organization_experience,inter_org_collaboration,community_impact_projects,organizational_score
105131100519,3.43,154.0,3.407777777777778,0.7723658983357317,9,0,-0.1999999999999997,0.7604597695007195,0,0,48201,2019,1,0,1,1,0,1,0,2,2,0.19,0.3041839078002878,0.06649999999999999,0.06395833333333333,0.43464224113362115,0,1,0,0,1,developing,2,0,0,2,9.0,1,0,0,1,0,1,0,0,4,0.6,0,0.2558333333333333
105191101420,3.97,146.0,3.965,0.9458701088953342,8,0,-0.0299999999999998,0.8800110326686003,1,0,86231,2020,2,1,1,2,0,2,0,4,3,0.31,0.3520044130674401,0.1085,0.09489583333333332,0.5554002464007735,1,1,1,1,3,exemplary,2,4,56,2,8.5,2,0,1,0,1,0,0,1,4,0.6,3,0.3795833333333333
105191115719,3.86,146.0,3.795,0.8311854392532996,8,0,-0.1400000000000001,0.8318556317759899,0,0,86231,2019,1,1,0,1,0,0,1,1,2,0.09,0.332742252710396,0.0315,0.05541666666666666,0.4196589193770627,0,1,0,0,1,developing,1,0,0,1,14.0,1,1,0,0,0,0,0,0,2,0.3,0,0.22166666666666665
105241100721,3.64,147.0,3.715,0.7535178671042301,8,0,0.2400000000000002,0.781055360131269,0,0,88204,2021,1,1,0,1,0,1,0,2,2,0.19,0.3124221440525076,0.06649999999999999,0.135,0.5139221440525077,1,1,0,1,2,proficient,6,2,32,4,12.0,4,2,0,1,0,1,2,1,10,1.0,0,0.54
105311101620,3.55,98.0,1.4622222222222223,0.3793602684475765,9,0,0.29,0.6575580805342729,1,0,86203,2020,1,0,1,1,1,0,0,3,2,0.3399999999999999,0.26302323221370916,0.11899999999999997,0.07364583333333333,0.45566906554704245,1,1,1,1,3,exemplary,2,1,9,2,6.5,2,0,1,1,0,0,0,1,4,0.6,2,0.2945833333333333
105311105520,3.85,148.0,3.715,0.7145250929412946,8,0,0.02,0.7956075278823883,0,0,86203,2020,4,3,1,4,0,1,3,5,4,0.38,0.31824301115295534,0.13299999999999998,0.04604166666666666,0.49728467781962193,1,1,1,0,2,proficient,1,0,0,1,9.0,0,0,0,1,0,0,0,0,2,0.3,0,0.18416666666666665
105421100320,3.88,153.0,3.870000000000001,0.8610132962705289,7,0,-0.1200000000000001,0.8433039888811587,0,0,11201,2020,2,0,2,2,0,1,1,3,3,0.26,0.3373215955524635,0.091,0.05541666666666666,0.4837382622191302,1,1,1,0,2,proficient,1,0,0,1,12.0,1,0,0,1,0,0,0,0,2,0.3,0,0.22166666666666665
105421104519,3.54,153.0,3.5442857142857145,0.795715975303433,7,1,0.1099999999999998,0.8812147925910299,1,0,11201,2019,1,0,1,1,0,1,0,2,2,0.19,0.35248591703641197,0.06649999999999999,0.1571875,0.576173417036412,1,1,0,1,2,proficient,6,2,38,5,9.5,3,2,1,1,1,0,1,1,10,1.0,3,0.62875
105611105520,3.86,144.0,3.58375,0.6310770592007795,8,0,-0.1400000000000001,0.7718231177602338,1,0,63201,2020,1,0,1,1,0,1,0,2,2,0.19,0.30872924710409355,0.06649999999999999,0.10104166666666667,0.47627091377076025,0,1,0,0,1,developing,3,0,0,3,10.333333333333334,3,1,1,0,0,1,0,0,6,0.8999999999999999,2,0.4041666666666667
105611106021,3.88,147.0,3.885714285714285,0.9220913282343348,7,0,0.08,0.8616273984703005,1,0,63201,2021,3,3,0,3,0,3,0,6,2,0.29,0.3446509593881202,0.10149999999999999,0.05458333333333333,0.5007342927214535,1,1,1,0,2,proficient,2,0,0,2,6.0,2,1,0,0,0,0,1,0,4,0.6,0,0.21833333333333332
