nim,organization_name,organization_type,organization_category,duration_months,is_current_member,highest_role,roles_held,selectivity_score,time_commitment
105131100519.0,Robotika,special_interest,technology,14,True,Team Leader,2,0.7,High
105191101420.0,Himpunan Mahasiswa Teknik,professional,engineering,17,True,Ketua,3,0.5,Medium
105191115719.0,Asosiasi Mahasiswa Psikologi,professional,psychology,5,True,Anggota,1,0.6,Medium
105191115719.0,Tutor Sebaya,academic,education,3,False,Tutor,1,0.5,Low
105241100721.0,Teater,special_interest,arts,8,True,Pemain,1,0.5,Medium
105311101620.0,Pendampingan Masyarakat,social_service,community,3,False,Pendamping,1,0.7,Medium
105311105520.0,Asosiasi Mahasiswa Psikologi,professional,psychology,13,True,Anggota,1,0.6,Medium
105311105520.0,BEM Fakultas,student_government,governance,11,True,Anggota,1,0.8,High
105311105520.0,Perhimpunan Mahasiswa Hukum,professional,law,12,False,Anggota,1,0.5,Medium
105421100320.0,Senat Mahasiswa,student_government,governance,13,False,Wakil Ketua,2,0.9,High
105421104519.0,Senat Mahasiswa,student_government,governance,10,True,Senator,1,0.9,High
105421104519.0,BEM Fakultas,student_government,governance,5,True,Anggota,1,0.8,High
105421104519.0,Ikatan Mahasiswa Akuntansi,professional,business,6,True,Anggota,1,0.4,Medium
105421104519.0,Perhimpunan Mahasiswa Hukum,professional,law,10,False,Koordinator Kajian,2,0.5,Medium
105611105520.0,Ikatan Mahasiswa Akuntansi,professional,business,19,True,Anggota,1,0.4,Medium
105611105520.0,Persekutuan Doa Kristen,religious,spiritual,11,True,Anggota,1,0.3,Medium
105611106021.0,Kelompok Studi Penelitian,academic,research,4,False,Anggota,1,0.6,Medium
105611106021.0,Tutor Sebaya,academic,education,5,True,Tutor,1,0.5,Low
105611109820.0,Laboratorium Riset,academic,research,13,True,Koordinator,2,0.7,High
105611109820.0,Keluarga Mahasiswa Hindu,religious,spiritual,8,True,Anggota,1,0.4,Low
105611110319.0,Jurnalistik,special_interest,media,14,True,Editor,2,0.4,Medium
105611110319.0,Robotika,special_interest,technology,10,False,Anggota,1,0.7,High
105611110319.0,Tim Debat,special_interest,competition,7,True,Anggota,1,0.8,High
105611110319.0,Kerohanian Islam,religious,spiritual,6,True,Anggota,1,0.3,Medium
105611121619.0,Asosiasi Mahasiswa Psikologi,professional,psychology,13,True,Anggota,1,0.6,Medium
105611121619.0,Forum Mahasiswa Kedokteran,professional,medical,18,True,Koordinator Riset,2,0.7,High
105641103820.0,UKM Olahraga,special_interest,sports,9,True,Anggota,1,0.4,Medium
105641103820.0,Tutor Sebaya,academic,education,5,True,Tutor,1,0.5,Low
105641103820.0,Fotografi,special_interest,arts,15,True,Anggota,1,0.3,Low
105641103820.0,Forum Mahasiswa Kedokteran,professional,medical,11,False,Anggota,1,0.7,High
105641106120.0,DPM Fakultas,student_government,governance,11,True,Anggota,1,0.7,Medium
105641106120.0,ORMAWA Jurusan,student_government,governance,7,False,Ketua,3,0.6,Medium
105641106120.0,Robotika,special_interest,technology,10,False,Anggota,1,0.7,High
105641106120.0,Ikatan Mahasiswa Akuntansi,professional,business,9,True,Anggota,1,0.4,Medium
105641106120.0,Jurnalistik,special_interest,media,7,True,Reporter,1,0.4,Medium
105651104320.0,Himpunan Mahasiswa Teknik,professional,engineering,21,True,Koordinator Divisi,2,0.5,Medium
105651104320.0,Dharma Wacana Buddha,religious,spiritual,1,True,Anggota,1,0.4,Low
105651104320.0,Perhimpunan Mahasiswa Hukum,professional,law,8,True,Anggota,1,0.5,Medium
105651104320.0,ORMAWA Jurusan,student_government,governance,14,True,Koordinator,2,0.6,Medium
105651109921.0,DPM Fakultas,student_government,governance,13,True,Anggota,1,0.7,Medium
105651109921.0,Tim Olimpiade,academic,competition,5,False,Anggota,1,0.8,High
105651109921.0,Fotografi,special_interest,arts,16,True,Anggota,1,0.3,Low
105651109921.0,Bakti Sosial Mahasiswa,social_service,community,15,True,Relawan,1,0.3,Low
105721102119.0,Perhimpunan Mahasiswa Hukum,professional,law,13,True,Koordinator Kajian,2,0.5,Medium
105721102119.0,Ikatan Mahasiswa Akuntansi,professional,business,6,True,Anggota,1,0.4,Medium
105721102119.0,Relawan Bencana,social_service,emergency,10,True,Relawan,1,0.6,High
105721121819.0,Tim Olimpiade,academic,competition,5,True,Anggota,1,0.8,High
105721121819.0,Ikatan Mahasiswa Akuntansi,professional,business,14,True,Anggota,1,0.4,Medium
105721121819.0,Forum Mahasiswa Kedokteran,professional,medical,7,True,Anggota,1,0.7,High
105721121819.0,Relawan Bencana,social_service,emergency,17,True,Koordinator Tim,2,0.6,High
105721124321.0,Tutor Sebaya,academic,education,5,True,Tutor,1,0.5,Low
105721124321.0,Senat Mahasiswa,student_government,governance,14,True,Senator,1,0.9,High
105721124321.0,DPM Fakultas,student_government,governance,8,True,Anggota,1,0.7,Medium
105721124321.0,Kelompok Studi Penelitian,academic,research,6,True,Anggota,1,0.6,Medium
105721124321.0,Kerohanian Islam,religious,spiritual,6,True,Anggota,1,0.3,Medium
105721124321.0,BEM Fakultas,student_government,governance,15,True,Wakil Ketua,3,0.8,High
105721128920.0,Kelompok Studi Penelitian,academic,research,9,False,Anggota,1,0.6,Medium
105721128920.0,Perhimpunan Mahasiswa Hukum,professional,law,8,False,Anggota,1,0.5,Medium
105721128920.0,Pendampingan Masyarakat,social_service,community,6,False,Pendamping,1,0.7,Medium
105721128920.0,Donor Darah,social_service,health,12,True,Donor,1,0.2,Low
105721144418.0,UKM Olahraga,special_interest,sports,13,True,Koordinator Cabang,2,0.4,Medium
105721144418.0,ORMAWA Jurusan,student_government,governance,8,True,Anggota,1,0.6,Medium
105731105220.0,ORMAWA Jurusan,student_government,governance,8,False,Anggota,1,0.6,Medium
105731105220.0,Relawan Bencana,social_service,emergency,8,True,Relawan,1,0.6,High
105731105220.0,Bakti Sosial Mahasiswa,social_service,community,11,True,Relawan,1,0.3,Low
105731111719.0,Himpunan Mahasiswa Teknik,professional,engineering,9,True,Anggota,1,0.5,Medium
105731111719.0,Forum Mahasiswa Kedokteran,professional,medical,11,False,Anggota,1,0.7,High
105731122419.0,Kelompok Studi Penelitian,academic,research,4,True,Asisten Peneliti,2,0.6,Medium
105731122419.0,DPM Fakultas,student_government,governance,16,False,Anggota,1,0.7,Medium
