nim,organization_name,organization_type,role,is_leadership,start_date,end_date,duration_months,is_active
105131100519,Student Association,professional,Ketua,True,2024-04-30,2026-03-21,23,True
105131100519,NGO,social,Wakil Ketua,True,2025-03-19,2028-07-01,40,True
105131100519,UKM Seni,arts,Ketua,True,2024-06-23,2025-05-19,11,False
105131100519,Laboratorium,academic,Ketua,True,2024-08-02,2027-12-15,41,True
105191115719,Business Club,professional,Anggota Pengurus,False,2023-03-09,2024-10-29,20,False
105191115719,Music,arts,Ketua,True,2021-10-15,2023-02-07,16,False
105241100721,Basket,sports,Koordinator,True,2024-06-30,2025-09-23,15,True
105241100721,ROHIS,religious,Wakil Ketua,True,2025-02-27,2027-08-16,30,True
105311101620,Religious Study Group,religious,Koordinator,True,2023-02-16,2023-10-14,8,False
105421100320,UKM Seni,arts,Anggota Pengurus,False,2022-08-10,2023-07-06,11,False
105421100320,Religious Study Group,religious,Bendahara,True,2025-06-12,2026-04-08,10,True
105421104519,Student Association,professional,Koordinator,True,2024-05-25,2025-04-20,11,False
105611106021,UKM Akademik,academic,Koordinator,True,2022-02-20,2025-01-05,35,False
105611109820,Masjid,religious,Kepala Divisi,True,2024-07-11,2026-10-29,28,True
105611110319,Professional Club,professional,Wakil Ketua,True,2022-02-21,2025-10-03,44,True
105611110319,NGO,social,Sekretaris,True,2023-07-29,2026-06-13,35,True
105611110319,Atletik,sports,Bendahara,True,2025-05-22,2027-07-11,26,True
105611110319,ORMAWA,academic,Kepala Divisi,True,2024-03-14,2026-09-30,31,True
105611121619,BEM,academic,Kepala Divisi,True,2022-01-10,2023-08-03,19,False
105641103820,Badminton,sports,Anggota,False,2024-03-20,2025-06-13,15,False
105651103921,NGO,social,Koordinator,True,2023-04-20,2026-10-31,43,True
105651103921,Professional Club,professional,Kepala Divisi,True,2024-12-04,2026-07-27,20,True
105651103921,UKM Seni,arts,Ketua,True,2024-11-04,2025-11-29,13,True
105651104320,Student Association,professional,Anggota Pengurus,False,2025-05-06,2028-12-16,44,True
105651104320,Badminton,sports,Anggota,False,2024-04-17,2027-07-01,39,True
105651109921,UKM Seni,arts,Wakil Ketua,True,2024-03-16,2027-06-29,40,True
105651109921,ROHIS,religious,Koordinator,True,2024-10-25,2027-07-12,33,True
105721102119,UKM Olahraga,sports,Koordinator,True,2024-09-13,2027-10-28,38,True
105721102119,Student Association,professional,Koordinator,True,2022-11-09,2026-08-20,46,True
105721121819,Teater,arts,Sekretaris,True,2024-10-18,2027-03-07,29,True
105721124321,Photography,arts,Ketua,True,2023-11-20,2027-07-02,44,True
105721124321,UKM Olahraga,sports,Wakil Ketua,True,2023-12-24,2026-05-12,29,True
105721124321,Volunteer,social,Bendahara,True,2025-04-05,2028-09-16,42,True
105721124321,UKM Akademik,academic,Wakil Ketua,True,2024-12-30,2028-04-13,40,True
105721128920,Social Movement,social,Sekretaris,True,2022-09-29,2024-07-20,22,False
105721128920,Professional Club,professional,Bendahara,True,2021-11-01,2025-02-13,40,False
105721128920,Religious Study Group,religious,Anggota Pengurus,False,2022-01-22,2026-01-01,48,True
105721144418,Islamic Organization,religious,Anggota,False,2024-04-24,2025-05-19,13,False
105721144418,Volunteer,social,Kepala Divisi,True,2022-05-28,2022-12-24,7,False
105731111719,Teater,arts,Bendahara,True,2025-04-21,2025-10-18,6,True
105731122419,Business Club,professional,Ketua,True,2025-04-28,2026-12-19,20,True
105731122419,HIMA,academic,Wakil Ketua,True,2024-05-14,2027-06-28,38,True
105731122419,Badminton,sports,Bendahara,True,2024-12-17,2028-03-31,40,True
105731124818,Business Club,professional,Anggota,False,2023-01-19,2024-10-10,21,False
105731124818,Tim Futsal,sports,Wakil Ketua,True,2022-01-03,2022-12-29,12,False
105741102820,Basket,sports,Anggota Pengurus,False,2023-01-31,2025-09-17,32,True
105831104618,Student Association,professional,Wakil Ketua,True,2023-06-12,2024-03-08,9,False
105831104618,ROHIS,religious,Bendahara,True,2024-08-20,2026-02-11,18,True
105841106719,Dance,arts,Sekretaris,True,2024-09-03,2027-05-21,33,True
105841106719,Islamic Organization,religious,Bendahara,True,2023-03-21,2024-01-15,10,False
105851101121,UKM Seni,arts,Ketua,True,2022-09-02,2026-07-13,47,True
105261111622,ORMAWA,academic,Bendahara,True,2023-06-04,2024-09-26,16,False
